id,x,y,ndvi,ndbi,lst,elevation,rainfall,distance_to_water,population
147,501065.0,2599145.0,-0.018745210247017842,0.0010166030326221292,-0.08705132084676742,-0.07635675911418432,0.045085586345642546,-0.09977501374492431,-0.028861800621287296
171,502115.0,2598245.0,0.07057468321157635,0.06650570998877316,0.04068668827061631,-0.03769729390369995,0.03604928883337604,-0.060990449823989344,0.02633350630027405
173,501905.0,2598875.0,0.16678316774434504,0.12048809686562734,-0.04659617759541839,0.03383604246321839,0.050599372874415,0.23589989333032152,0.09107252652172115
179,500435.0,2597075.0,0.00488625903579902,0.07508606720888802,-0.023766210158866576,0.12051959037064694,-0.05004522959464958,0.2638838559273194,0.03146698009079263
201,500705.0,2598335.0,0.014313844630133507,0.028165210971328115,0.03660483651573408,0.07526573017901154,0.1298396982935037,0.31031938346159044,-0.003829736130335628
211,502385.0,2597615.0,-0.014395941513208048,-0.03545932394158878,-0.021106300223090017,-0.04447703113921388,-0.06832664978598652,-0.06423700321687177,-0.014139822330113894
212,500195.0,2598875.0,-0.04590468777711876,0.02856492606412444,-0.00904412415491052,-0.08708720241136737,0.036442613860217576,0.07934033193770532,0.006990951838658688
213,501755.0,2599055.0,-0.0008195534100531574,-0.05916537586055072,0.000738305112880741,0.038530914917893636,0.09040815500719424,0.13872486536230938,-0.019735052036364532
215,500735.0,2598545.0,0.0025514572718436817,0.09793599331980073,0.01831779513876667,-0.02311562015283176,0.13010177469603187,0.29803043313928784,0.007556199332134471
225,501515.0,2598695.0,-0.033296281793045016,-0.00811984767438721,-0.007909747419020135,-0.019016169752455816,0.024275850078566474,0.12418830848763683,-0.01578050272603867
226,501635.0,2597585.0,-0.02490638284145383,-0.018966611900311667,0.012647921209495863,-0.03932845381308755,-0.037780897455220126,-0.04947711503234199,-0.011146880184971968
228,502985.0,2598215.0,-0.02576630025220028,-0.05564118592289086,0.004452323388876212,-0.08072456661215487,-0.056365647152066246,0.02487857133427692,-0.006940496149142165
231,502415.0,2597825.0,-0.008007025809931123,-0.0381356403321354,0.003429053004364415,-0.09217236602213771,-0.02990178800119595,-0.05755876289695963,-0.002265754885818996
233,501335.0,2598335.0,-0.03393560576701544,-0.06400303021936968,-0.0161493724823264,-0.1055429403012168,0.02819110707999528,0.00649405661367665,-0.028822043262072744
238,500855.0,2597075.0,-0.015800651288528065,-0.005480116269902709,-0.0693447149098629,0.00800752258868788,-0.10480246583450684,-0.0906937065716344,0.0055914546300685
243,501545.0,2598275.0,-0.036173435772176514,-0.039335986012078,-0.006691312916292191,-0.09265395540509734,0.015589941196046432,-0.1006648450984494,-0.00633423138877791
250,501695.0,2598305.0,0.011876327880894204,0.0019350276577257768,0.031977327350846525,-0.056157774707289145,0.034694694610903055,-0.06557695600568311,0.017663575624177804
258,501995.0,2597945.0,0.009444428790295611,0.11429146963177081,0.039139377076520404,-0.06504619081704506,0.0696289637708633,-0.06549999162365595,0.02408455153673931
261,500975.0,2599205.0,-0.016808412123167065,-0.00812041529617895,-0.044709091287088346,-0.08748736703322654,0.043923995787423994,-0.12362592331434455,-0.03702115258978484
264,501695.0,2599595.0,0.0030472349304215786,0.0035248635466511987,-0.002249765066252075,0.12202525368465499,0.16516303464540244,-0.014798413511887286,0.030327672880094983
278,502025.0,2597615.0,-0.02879169365928739,-0.03074105302569621,-0.010856985728169273,-0.05667161614718994,-0.07545530629946781,-0.053829621009760374,-0.014041196713402305
279,501365.0,2598875.0,-0.029214158913968197,0.029813341323869612,-0.12327087091198088,0.030637203402797523,-0.0035640314687052084,0.24580130815292564,-0.03920896572778969
283,500615.0,2599535.0,-0.018672449662449794,-0.04292156621816486,-0.04392873430200561,0.04225257280657658,-0.120974442056219,-0.07029247558896456,-0.004219330912316655
284,502025.0,2598545.0,0.018586085815973385,0.11663626986099203,0.041706698858888204,-0.014172046571325161,0.10266064687820733,0.1339466404486954,0.023706410600028514
290,502475.0,2598155.0,0.040917713005101254,-0.0356210523519805,0.06992928153958257,-0.04031255968290919,0.057354525700547714,0.013657353796355822,-0.0007583097403538393
293,502055.0,2597615.0,-0.026970964504280687,-0.03019493505225868,-0.013597046520050454,-0.050997172431648315,-0.07357526215028619,-0.054744098160073924,-0.012748067579448536
